story,genre
يعود وكيل هوليوود الناجح برايس ديكسون الى الاباما لاول مره منذ من اجل لم شمله في المدرسه الثانويه عندما يعلم انه الوحيد من اصدقائه غير متزوج وبدون اطفال يقنع زبونته النجمه ماديسون بيل بالتظاهر بانها صديقته لكنه سرعان ما يتعلم ان للنجاح معاني مختلفه وان الرومانسيه قد تكون اقرب مما يعتقد,"['دراما', 'كوميديا']"
في المستقبل القريب يتم ارسال طيار طائره بدون طيار الى منطقه عسكريه مميته ويجب ان يعمل مع ضابط اندرويد لتحديد موقع جهاز يوم القيامه,"['اكشن', 'مغامرات']"
بعد خساره ماساويه لكلا الوالدين تيم هارت البالغ من العمر على العيش مع عمه غير الناضج للغايه ماكس وهو ساحر من الدرجه الثانيه والذي بمساعده ابن اخيه يحاول ان يرعى يده الاخيره في الحب,['دراما']
يتعاون ضابطي الشرطه ديريك وباكستر في مهمه لتعقب قاتل متسلسل غامض ليسقط الثنائي في العديد من الاختبارات والماضي المظلم الذي يطاردهما,"['اثارة', 'جريمة', 'دراما']"
قصه حب محيره للعقل تتبع جريج الذي بعد ان طلق ثم منه قابل ايزابيل الغامضه وهي امراه تعيش في الشوارع ومقتنعه بان العالم الملوث والمكسور من حولهم هو مجرد محاكاه كمبيوتر في البدايه اكتشف جريج في النهايه انه قد يكون هناك بعض الحقيقه في مؤامره ايزابيل البريه,['دراما']
بيل اونيل يتسلل الى الفهود السود بواسطه عميل مكتب التحقيقات الفيدرالي ميتشل وجيه ادغار هوفر مع صعود رئيس فرقه بلاك بانثر فريد هامبتون وسقوطه في حب زميل ثوري في الطريق كانت معركه اجور روح اونيل,['دراما']
عندما تصبح ميا نجمه وسائل التواصل الاجتماعي لحمله ارهاب على الانترنت يتعين عليها حل سلسله من الالعاب لمنع الاشخاص الذين تهتم بهم من التعرض للقتل لكن هل هذا حقيقي ام انها مجرد لعبه على حسابها,['رعب']
جيسون هيل المخضرم المزين والمصاب باضطراب ما بعد الصدمه يلتقي بزوجته جينيفر لتناول طعام الغداء في مستشفى شؤون المحاربين القدامى حيث تعمل بعد استدعاء جينيفر لاجراء مشاورات طارئه مع رئيس هيئه الاركان المشتركه للجيش الامريكي تم احتجاز المستشفى كرهينه من قبل ارهابيين مدججين بالسلاح يصبح جايسون خط الدفاع الاخير ويجب عليه محاربه الارهابيين واضطراب ما بعد الصدمه الذي تسبب به الشياطين لانقاذ زوجته والجنرال وطاقم المستشفى والمرضى,"['اثارة', 'اكشن']"
في القرن الماضي يتجاوز تاثير مدام كلود في باريس عالم البغاء الحال مع ظهور امراه بتغيير شيء,"['جريمة', 'دراما']"
تدور الاحداث في اطار من الحركه حيث يسير جون كلارك الجندي بالبحريه في طريقه للانتقام من كل من تسبب في قتل زوجته ليجد نفسه امام مؤامره كبيره غير متوقعه,"['اثارة', 'اكشن', 'مغامرات']"
تبدا جثث رواد الشاطئ في غسلها على الشاطئ اثناء الافتتاح الكبير لمنتجع جديد بنتائج وخيمه,['رعب']
شاهد قاتل مراهق يجد نفسه من قبل قاتلين توامين في بريه مونتانا مع خبير نجاه مكلف بحمايته وحريق غابه يهدد باستهلاكهم,"['اثارة', 'اكشن', 'دراما']"
غير لامعكاتب ومخرج معروفيعاني من تجربه مؤلمهمما يؤدي الى خوفه المميت من الخروجلذلك قرر ان يحاول الكتابهمباشرهونجم في فيلم روائي طويلكلها من شقته,"['دراما', 'كوميديا']"
يحقق ال وارنز في جريمه قتل قد تكون مرتبطه بحيازه شيطانيه,"['اثارة', 'رعب']"
يتم اختطاف امراه شابه من قبل مجموعه غريبه من مهربي البشر الذين يستخدمون المخدرات والتحكم في العقل القائم على الصدمات لتحويل النساء الى صوفيا محاصره في كابوس يقظ تحارب من اجل طريقه للهروبلتجنب ان تصبح,['رعب']
بعد سنتين من مقتل ابنه ووالده يشرع قاتل ماجور متقاعد في تنفيذ خطه بعنايه للانتقام من اخيه ذلك القاتل الذي غدر بالعائله,"['اكشن', 'جريمة', 'مغامرات']"
يتم جمع مجموعه من المجرمين في ظل ظروف غامضه وعليهم العمل للكشف عما يحدث بالفعل عندما تسير مهمتهم البسيطه بشكل جانبي,"['جريمة', 'دراما']"
تحدث اشياء غريبه في ولايه كنتاكي المعروفه بشكل اساسي بانتاجها الضخم للذره يظهر ضحايا الوحوش في حقول الذره ويقول الشهود ان هؤلاء الضحايا بسبب وجوداسماك قرش بيضاء كبيره متواجده هناك,['رعب']
بعد نهب موقع دفن هنود حمر اصليين استيقظت لعنه قديمه يسمى مغيري الجلود وهو شيطان متغير الشكل يعود للانتقام,['اثارة']
بعد نهايه العالممنعزله حزينه تزوره امراه يائسه تسحبه من منزلهويجبره على مواجهه الاضطرابات الداخليه,"['اثارة', 'دراما']"
يتناول العمل قصه عائلتان متنافستان تتحكم كل منهما في امبراطوريتها الاعلاميه في مدينه نيويورك وتزداد الامور صعوبه بينهما حينما يتجاهل الابناء المراهقون الخلاف ويقعون في الحب,"['اكشن', 'جريمة', 'كوميديا']"
المتخصص السابق في الاستخراج العسكري ماركوس لومباردي الذي كانت فرصته الوحيده لانقاذ اخته المخبره وعائلتها هي تعقب حقيبه غامضه,['اكشن']
يعيش جاي في عالم غريب بمهنه صراف في احد البنوك وتزداد مخاوفه في الحياه حينما يشك انه يعيش داخل لعبه فيديو ليدخل في سباق مع الزمن لانقاذ لعبه الفيديو قبل قيام مطوريها باغلاقها,"['اكشن', 'كوميديا']"
يجد مجموعه من الاصدقاء انفسهم مطاردون في الكهوف بواسطه مخلوق من عالم اخر,"['اثارة', 'رعب']"
ظهرت المركبه الفضائيه الاستكشافيه بين النجوم ديب سبيس التي اختفت بشكل غامض قبل فجاه في مدار ارضي منخفض شكلت وكاله الفضاء البشريه لجنه مؤقته للتحقيق واستجواب الناجي الوحيد تجربه الرعب في ديب سبيس تتطور ببطء,['اثارة']
ماديسون من سلسله من الاحلام والرؤى الغريبه والمرعبه عن جرائم قتل في اماكن تفرقه ويزداد عذابها حينما تكتشف حدوث كل ما تراه من جرائم بالعالم الحقيقي,"['اثارة', 'جريمة', 'رعب']"
عندما كان اي بي مان يدرس في هونغ كونغ خلال سنوات شبابه تورط بطريق الخطا في قضيه اختطاف الشركه البريطانيه ستار للصناعات لنساء صينيات ليتم الاتجار بهن في الخارج يخرج اي بي مان ويقاتل الغربيين حارب محاربي باتون البريطانيين ثلاث مرات واستخدم وينج تشون للدفاع عن كرامه الصينيين الذين تم دهسهم,['اكشن']
تقع تولاني في شباك ضغوط الحياه في لاغوس نيجيريا في الثمانينيات في تهريب مع صديقتها وعليها مواجهه العواقب,"['اثارة', 'دراما']"
يامل صانع افلام شاب ان يجد الحب من خلال المواعده عبر الانترنت اذا كان بامكانه فقط ابقاء الوسواس القهري لديه,['كوميديا']
سائق امراتين غامضتين لقضاء ليله فيها بين الحفلات وحين تكشف الراكبتان عن حقيقتهما عليه القتال على حياته,"['اثارة', 'اكشن', 'جريمة', 'دراما', 'رعب']"
ياخذ استاذ غريب الاطوار اربعه من طلابه الى قصر ماد هاتر وهي اسطوره حضريه يدفعها الى الجنون التسمم بالزئبق والحزن يقول انه لا يوجد ما يدعو للقلق الان القائمين على الرعايه الغريبين الفاسدين الذين يطاردون المنزل هم مجرد خدم وقعوا في زواج الاقارب وقد مات حتر نفسه منذ سنوات ولكن عندما يبدا الطلاب في الاختفاء تلو الاخر يبدا اولئك الذين بقوا في التساؤل عما اذا كانت تجربه الاستاذ علميه واذا لم يستسلم حتر لجنونه فحسب بل قرر نشره,"['اثارة', 'رعب']"
مغامرات فتاه صغيره وسنجاب بقوى خارقه,['مغامرات']
تي قوان شاب عادي في عالم البشر تحت درب المعاناه السماوي ويتوق الى ان يصبح لكن لا يمكنه زراعه نفسه لانه ولد بدون روح السيف فصادف انه سحب السيف المشتعل وصيه عصبه السيف والذي يحتوي على النار الغامضه التي تدخل بداخله عن طريق الصدفه فيغزو العالم باستمرار من قبل سنو باسيلسك والمتحولون ويعاني الناس بينما يحاول الشرير الاستيلاء على السيف,"['اكشن', 'مغامرات']"
مجموعه من الاصدقاء يسافرون في غابه كثيفه يلتقون بطريق الخطا شخصين غريبينمن يعتقدون انهم القتلهتتعقد الامور عندما يقبض عليهم قتله حقيقيون,"['اثارة', 'رعب']"
